ticker,da,roa,net_profit_margin,asset_turnover,debt_ratio
T,1.3953669846663996,-0.7753535860115048,-1.0738602052161923,0.7220246939455296,1.3953669846663996
ATO,0.8168290692651082,0.20505928094849518,5.726541554959786,0.035808572937166994,0.8168290692651082
ADSK,1.063517901939742,0.30582246510010874,1.111099647022503,0.2752430584598277,1.063517901939742
AZO,5.281208024230718,3.4050568456169614,2.718741895008377,1.2524384355383873,5.281208024230718
AVB,0.8925694632998461,0.2048149153769572,0.3854211019330665,0.5314055570639877,0.8925694632998461
BKR,0.8897742363877822,0.11447543160690571,2.1127450980392157,0.054183266932270914,0.8897742363877822
BLL,0.0957960914018716,0.02198947382236747,0.5796429559922502,0.03793623918835558,0.0957960914018716
BAC,0.5945214744673656,0.34764964491038214,0.4189079054604727,0.8298951640175853,0.5945214744673656
BAX,0.17971667032725674,0.08258291236547331,0.9823644676681907,0.08406545135075774,0.17971667032725674
BDX,0.06671124066160745,-0.0571918101963365,-0.042161899371616816,1.3564808760688267,0.06671124066160745
